NGS_WOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
0,66149.7759,1.18E+13,154242.5127,87.08493016,255687539.1,67347.06,119.7917459,-2322.032462,436.2684859,20.70963718,610.1506664,563472678.2,1152172092,115.4089213,0.22609999,0.431232647,2.335721838,68.63374591,-3.250992101,-1.614488754,-0.538156351,-0.696213337,-0.851359174
1,22733.02624,3711218.494,91748.08031,55.96288664,93366182.67,28654.42,43.52925019,-2393.149343,283.3706276,17.03044297,213.8058777,190886731.6,423972727.9,34.52515171,0.053543494,-0.419575722,1.490982222,51.31982132,-3.288402283,-1.833370049,-1.028116277,-1.302505807,-1.252943845
2,11412.56293,43171.49915,50947.18577,35.48460942,34000541.05,14543.3,13.56979831,-2494.478375,190.8956029,13.15354665,84.2499446,43610314.71,128480749.9,29.41487085,0.029609295,-0.579068904,1.186942549,38.58621704,-3.357169944,-1.973954569,-1.691617683,-1.67557676,-1.665337076
3,7346.687738,25.80184272,33567.8598,19.59515509,17116621.87,7103.68,7.300685942,-2624.512728,142.9133973,10.41324755,20.72745151,11355480.54,21762487.61,21.86406523,0.008722057,-0.715590671,1.009108054,32.12830865,-3.387844171,-2.094276711,-2.356733387,-2.256640867,-1.918936917
4,3284.906504,11.72452309,25108.67571,12.44692078,7632112.23,3551.5,3.754749816,-2679.821195,94.20679036,7.785400217,9.744600965,362275.6311,6603687.391,15.79805046,0.006762591,-0.750230291,0.863836937,28.83870517,-3.430138839,-2.125595808,-2.731726017,-2.590922002,-2.23875233
5,1949.868023,7.801809817,16719.50489,5.626476622,4506383.3,2007.36,1.567698576,-2882.578706,75.94881045,5.713158647,5.510159302,268410.5286,1891016.292,14.62622903,0.006138025,-0.814375937,0.7702038,27.34259772,-3.454934316,-2.179874199,-2.920552823,-2.928593212,-2.426073967
6,920.509028,4.322781782,11582.28532,2.793084874,1354719.04,1057.96,0.071288775,-2996.197435,60.59985966,4.072227513,2.064180684,181059.5796,1043832.572,14.28099624,0.005516904,-0.841540616,0.669414495,25.94266689,-3.50744318,-2.219588841,-3.210754645,-3.083389812,-2.627731179
7,349.3525922,2.481537723,8315.222326,1.821038501,688637.6208,192.18,0.020823141,-3076.623564,46.35233357,2.761830507,0.928488928,13501.90493,39753.13295,14.00780944,0.005168636,-0.87464066,0.637573013,25.33068476,-3.531772531,-2.294799596,-3.364253643,-3.246433547,-2.782906373
8,250.1528782,0.962920852,6626.764388,1.311852166,517364.61,118.6,0.016848067,-3179.405815,29.63310167,1.889686892,0.408880411,16.47271018,11.34012431,13.73240897,0.004826339,-0.901064669,0.610879386,24.56792205,-3.555882121,-2.319458149,-3.484764876,-3.460712623,-2.914923122
9,54.74950442,0.540436094,4434.737906,0.907172398,162634.862,91.68,0.008517916,-3191.522904,22.54435387,1.249492218,0.288075784,15.4030552,1.434813227,13.21512613,0.004163182,-0.91362736,0.567340629,23.80309261,-3.578770576,-2.39496328,-3.742878797,-3.651286132,-3.162173212
